Venue,Rank
International Journal of Auditing,A
International Journal of Automation Technology,C
International Journal of Automotive Technology,B
International Journal of Bank Marketing,A
"International Journal of Banking, Accounting and Finance",C
International Journal of Behavioural Accounting and Finance,C
International Journal of Bonds and Derivatives,C
International Journal of Business,C
International Journal of Business and Economics,B
International Journal of Business and Information,C
International Journal of Business and Society,C
International Journal of Business Communication,C
International Journal of Business Information Systems,C
International Journal of Business Intelligence Research (IJBIR),C
International Journal of Business Law,C
International Journal of Cases on Electronic Commerce,C
International Journal of Central Banking,A
International Journal of Computational Economics and Econometrics,C
International Journal of Computer Integrated Manufacturing,B
International Journal of Conflict Management,A
International Journal of Consumer Studies,A
International Journal of Contemporary Hospitality Management,A
International Journal of Cooperative Information Systems,A
International Journal of Corporate Governance,B
International Journal of Critical Accounting,C
International Journal of Cross Cultural Management,B
International Journal of Cultural Policy,A
International Journal of Data Warehousing and Mining,C
International Journal of Development and Conflict,B
International Journal of Development Issues,C
International Journal of Disaster Risk Reduction,A
International Journal of Disclosure and Governance,B
International Journal of Economic Perspectives,C
International Journal of Economic Policy and Emerging Economies,C
International Journal of Economic Practices and Theories,C
International Journal of Economic Theory,B
International Journal of Economics and Accounting,C
International Journal of Economics and Business Research,C
International Journal of Economics and Financial Issues,C
International Journal of Education and Development using Information and Communication Technology,C
International Journal of Educational Management,B
International Journal of Electronic Banking,C
International Journal of Electronic Commerce,A
International Journal of Electronic Customer Relationship Management,C
International Journal of Electronic Finance,C
International Journal of Electronic Government Research,C
International Journal of Electronic Marketing and Retailing,C
International Journal of Emergency Services,C
International Journal of Emerging Markets,B
International Journal of Employment Studies,C
International Journal of Energy Economics and Policy,C
International Journal of Energy Sector Management,C
International Journal of Enterprise Information Systems,C
International Journal of Enterprise Network Management,B
International Journal of Entrepreneurial Behaviour and Research,B
International Journal of Entrepreneurship and Innovation,C
International Journal of Environment and Pollution,C
International Journal of Ethics and Systems,C
International Journal of Event and Festival Management,B
International Journal of Event Management Research,B
International Journal of Finance,C
International Journal of Finance & Economics,B
International Journal of Financial Engineering,C
International Journal of Financial Markets and Derivatives,C
International Journal of Financial Services Management,C
International Journal of Financial Studies,B
International Journal of Forecasting,A
International Journal of Game Theory,A
International Journal of Gender and Entrepreneurship,C
International Journal of General Systems,A
International Journal of Global Business and Competitiveness,C
International Journal of Global Energy Issues,C
International Journal of Government Auditing,C
International Journal of Green Economics,C
International Journal of Health Care Quality Assurance,C
International Journal of Health Finance and Economics,B
International Journal of Healthcare Information Systems and Informatics,C
International Journal of Healthcare Management,C
International Journal of Heritage Studies,B
International Journal of Home Economics,C
International Journal of Hospitality and Tourism Administration,B
International Journal of Hospitality Management,A*
International Journal of Housing Markets and Analysis,B
International Journal of Housing Policy,B
International Journal of Human Resource Management,A
International Journal of Human-Computer Interaction,B
International Journal of Human-Computer Studies,B
International Journal of Industrial Organization,A
International Journal of Information and Communication Technology Education,C
International Journal of Information and Learning Technology,C
International Journal of Information Management,A*
International Journal of Information Security,B
International Journal of Information Security and Privacy,C
International Journal of Information Systems and Change Management,C
International Journal of Information Systems and Supply Chain Management,C
International Journal of Information Technology and Decision Making,C
International Journal of Information Technology and Web Engineering,C
International Journal of Intellectual Property Management,C
International Journal of Intelligent Information Technologies,C
International Journal of Intercultural Relations,A
International Journal of Internet and Enterprise Management,C
International Journal of Internet Marketing and Advertising,C
International Journal of Internet Science,C
International Journal of Islamic and Middle Eastern Finance and Management,B
International Journal of Knowledge and Learning,C
International Journal of Knowledge Management,B
International Journal of Knowledge Management Studies,C
"International Journal of Knowledge, Culture and Change Management",C
International Journal of Law and Information Technology,A
International Journal of Law and Management,C
International Journal of Lean Six Sigma,B
International Journal of Logistics Economics and Globalisation,C
International Journal of Logistics: research and applications,B
International Journal of Management,C
International Journal of Management and Network Economics,C
International Journal of Management Reviews,A
International Journal of Managerial and Financial Accounting,B
International Journal of Managerial Finance,A
International Journal of Managing Projects in Business,C
International Journal of Manpower,A
International Journal of Market Research,A
International Journal of Medical Informatics,A
International Journal of Monetary Economics and Finance,C
International Journal of Nonprofit and Voluntary Sector Marketing,B
International Journal of Operations & Production Management,A
International Journal of Operations and Quantitative Management,C
International Journal of Organizational Analysis,B
International Journal of Pharmaceutical and Healthcare Marketing,C
International Journal of Physical Distribution & Logistics Management,A
International Journal of Political Economy,C
International Journal of Portfolio Analysis and Management,B
International Journal of Production Economics,A
International Journal of Production Research,A
International Journal of Productivity and Performance Management,B
International Journal of Project Management,A
International Journal of Public Administration,B
International Journal of Public Opinion Research,A
International Journal of Public Sector Management,B
International Journal of Quality & Reliability Management,B
International Journal of Quality and Service Sciences,B
International Journal of Research in Marketing,A*
International Journal of Retail & Distribution Management,A
International Journal of Revenue Management,C
International Journal of Risk Assessment and Management,C
International Journal of Selection and Assessment,A
International Journal of Social Economics,B
International Journal of Social and Humanistic Computing,C
International Journal of Social Research Methodology,B
International Journal of Sociology and Social Policy,B
International Journal of Spa and Wellness,C
International Journal of Sport Communication,B
International Journal of Sport Finance,C
International Journal of Sport Management,B
International Journal of Sport Policy and Politics,C
International Journal of Sport Psychology,B
International Journal of Sports Management and Marketing,B
International Journal of Sports Marketing and Sponsorship,B
International Journal of Stochastic Analysis,B
International Journal of Strategic Communication,B
International Journal of Strategic Property Management,B
International Journal of Stress Management,A
International Journal of Sustainable Design,C
International Journal of Sustainable Economy,C
International Journal of Sustainable Transportation,B
International Journal of Technology and Human Interaction,C
International Journal of Technology Management,B
International Journal of Technology Management and Sustainable Development,C
International Journal of Technology Marketing,C
"International Journal of Technology, Knowledge and Society",C
International Journal of the Economics of Business,B
International Journal of Theoretical and Applied Finance,B
International Journal of Tourism Cities,C
International Journal of Tourism Policy,C
International Journal of Tourism Research,A
International Journal of Tourism Sciences,C
International Journal of Trade and Global Markets,C
International Journal of Training and Development,C
International Journal of Transport Economics,C
International Journal of Urban and Regional Research,B
"International Journal of Vehicle Design: journal of vehicle engineering, automotive technology and components",B
International Journal of Volunteer Administration,C
International Journal of Web Based Communities,B
International Journal of Wine Business Research,B
International Journal of Work Organisation and Emotion,B
International Labor and Working-Class History,B
International Labour Review,B
International Marketing Review,A
International Migration,A
International Migration Review,A
International Negotiation: a journal of theory and practice,A
International Organization,B
International Papers in Political Economy,C
International Public Management Journal,C
International Real Estate Review,C
International Regional Science Review,B
International Review for the Sociology of Sport,B
International Review of Administrative Sciences,C
International Review of Applied Economics,B
International Review of Economics,C
International Review of Economics & Finance,A
International Review of Economics Education,C
International Review of Environmental and Resource Economics,B
International Review of Finance,A
International Review of Financial Analysis,A
International Review of Information Ethics,C
International Review of Law and Economics,B
"International Review of Law, Computers and Technology",B
International Review of Public Administration,B
"International Review of Retail, Distribution and Consumer Research",B
International Review on Public and Nonprofit Marketing,B
International Small Business Journal,A
International Social Science Journal,B
International Statistical Review,A
International Studies of Management & Organization,B
International Studies Quarterly,A
International Tax and Public Finance,B
International Tax Journal,C
International Tax Review,C
International Trade Journal,B
International Transactions in Operational Research,B
International Transfer Pricing Journal,C
International VAT Monitor,B
Internet Research,A
Intertax: International Tax Review,C
Investment Analysts Journal,B
Investment Management and Financial Innovations,B
IPPR Progressive Review,B
Irish Journal of Management,C
Irish Marketing Review,C
ISEAS Current Economic Affairs Series,C
Islamic Economic Studies,C
ISRA International Journal of Islamic Finance,C
Issues in Accounting Education,A
Issues in Social and Environmental Accounting: An International Journal,C
ITE Journal,C
IUP Journal of Accounting Research & Audit Practices,C
IUP Journal of Corporate Governance,C
IZA Journal of Labor Economics,A
Japan and the World Economy,B
Japan Labor Issues,C
Japanese Economic Review,B
JASSA: The Finsia Journal of Applied Finance,B
Journal of Information Systems and Technology Management,C
Journal Ensayos Sobre Politica Economica (ESPE) / Essays on Economic Policy,C
Journal for Advancement of Marketing Education (JAME),C
Journal for Quality and Participation,C
Journal for Studies in Economics & Econometrics,B
Journal of Aboriginal Economic Development,C
Journal of Academy of Business and Economics,C
Journal of Accountancy,C
Journal of Accounting & Organizational Change,B
Journal of Accounting and Economics,A*
Journal of Accounting and Management Information Systems (JAMIS),C
Journal of Accounting and Public Policy,A
Journal of Accounting Auditing and Finance,A
Journal of Accounting Education,B
Journal of Accounting in Emerging Economies,B
Journal of Accounting Literature,A
Journal of Accounting Research,A*
"Journal of Accounting, Business and Management",C
"Journal of Accounting, Ethics and Public Policy",C
Journal of Advanced Transportation,A
Journal of Advertising,A
Journal of Advertising Education,C
Journal of Advertising Research,A
Journal of African Business,C
Journal of African Development,C
Journal of African Economies,A
Journal of Agribusiness in Developing and Emerging Economies,C
Journal of Agricultural & Food Industrial Organization,C
Journal of Agricultural and Applied Economics,C
Journal of Agricultural and Resource Economics,A
Journal of Agricultural Economics,A
"Journal of Agricultural, Biological and Environmental Statistics",B
Journal of Air Law and Commerce,A
Journal of Air Transport Management,B
Journal of Applied Accounting Research,B
Journal of Applied Business and Economics,C
Journal of Applied Communication Research,B
Journal of Applied Corporate Finance,A
Journal of Applied Econometrics,A*
Journal of Applied Economic Sciences,C
Journal of Applied Economics,B
"Journal of Applied Finance: theory, practice, education",C
Journal of Applied Law and Policy,C
Journal of Applied Management and Entrepreneurship,C
Journal of Applied Probability,A
Journal of Applied Psychology,A*
Journal of Applied Research in Accounting and Finance,C
Journal of Applied Social Psychology,B
Journal of Applied Sport Management,C
Journal of Applied Sport Psychology,A
Journal of Applied Statistical Science,C
Journal of Applied Statistics,B
Journal of Arts Management Law and Society,C
Journal of Asia Business Studies,C
Journal of Asia Entrepreneurship and Sustainability,C
Journal of Asia Pacific Business,C
Journal of Asian Business and Economic Studies,B
Journal of Asian Economics,B
Journal of Australian Political Economy,B
Journal of Australian Taxation,B
Journal of Banking & Finance,A*
Journal of Banking and Finance - Law and Practice,A
Journal of Banking Regulation,C
Journal of Behavioral and Experimental Economics,A
Journal of Behavioral and Experimental Finance,A
Journal of Behavioral Decision Making,A
Journal of Behavioral Finance,A
Journal of Benefit-Cost Analysis,C
Journal of Bioeconomics,C
Journal of Biopharmaceutical Statistics,C
Journal of Brand Management,A
Journal of Business & Economic Statistics,A*
Journal of Business & Economic Studies,C
Journal of Business & Industrial Marketing,A
Journal of Business Analytics,C
Journal of Business and Economic Perspectives,C
Journal of Business and Economics Research,C
Journal of Business and Management,C
Journal of Business and Psychology,A
Journal of Business and Technical Communication,C
Journal of Business Chemistry,C
Journal of Business Cycle Research,B
Journal of Business Economics and Management,B
Journal of Business Ethics,A
Journal of Business Finance & Accounting,A*
Journal of Business Law,A
Journal of Business Logistics,A
Journal of Business Market Management,B
Journal of Business Research,A
Journal of Business Strategy,B
Journal of Business Thought,C
Journal of Business Venturing,A*
Journal of Business Venturing Insights,A
Journal of Business-to-Business Marketing,B
Journal of Career Assessment,A
Journal of Career Development,B
Journal of Cases on Information Technology,C
Journal of Change Management,C
Journal of China Tourism Research,B
Journal of Chinese Economic and Foreign Trade Studies,C
Journal of Chinese Economics and Business Studies,C
Journal of Chinese Tax and Policy,C
Journal of Choice Modelling,B
Journal of Cleaner Production,A
Journal of Co-operative Studies,C
Journal of Commerce and Accounting Research,C
Journal of Commodity Markets,A
Journal of Common Market Studies,B
Journal of Communication,A
Journal of Communication Management,B
Journal of Community Informatics,B
Journal of Comparative Economics,A
Journal of Comparative International Management,C
Journal of Comparative Policy Analysis: research and practice,B
Journal of Competition Law and Economics,B
Journal of Computational and Graphical Statistics,A*
Journal of Computational Finance,C
Journal of Computer and System Sciences,C
Journal of Computer Information Systems,A
Journal of Conflict Resolution,A*
Journal of Construction Accounting and Taxation,C
Journal of Construction Engineering and Management,A*
Journal of Construction Procurement,C
Journal of Constructivist Psychology,B
Journal of Consulting and Clinical Psychology,B
Journal of Consumer Affairs,A
Journal of Consumer Behaviour,A
Journal of Consumer Marketing,A
Journal of Consumer Policy,C
Journal of Consumer Psychology,A*
Journal of Consumer Research,A*
"Journal of Consumer Satisfaction, Dissatisfaction and Complaining Behavior",B
Journal of Contemporary Accounting and Economics,A
Journal of Contemporary Business Issues,C
Journal of Contract Law,A
Journal of Convention & Event Tourism,B
Journal of Corporate Accounting and Finance,B
Journal of Corporate Finance,A*
Journal of Corporate Law Studies,A
Journal of Corporate Real Estate,C
Journal of Corporation Law,B
Journal of Cost & Management,C
Journal of Cost Analysis and Parametrics,C
Journal of Credit Risk,C
Journal of Cross-Cultural Psychology,A
Journal of Culinary Science and Technology,C
Journal of Cultural Economics,A
Journal of Cultural Heritage Management and Sustainable Development,C
Journal of Current Issues and Research in Advertising,B
Journal of Customer Behavior,C
Journal of Database Management,A
Journal of Database Marketing & Customer Strategy Management,C
Journal of Decision Systems,B
Journal of Demographic Economics,B
Journal of Derivatives and Hedge Funds,C
Journal of Destination Marketing & Management,A
Journal of Development Economics,A*
Journal of Development Studies,A
Journal of Digital & Social Media Marketing,C
Journal of Documentation,B
Journal of East European Management Studies,C
Journal of East-West Business,C
Journal of Eastern Asia Society for Transportation Studies,C
Journal of Econometric Methods,B
Journal of Econometrics,A*
Journal of Economic and Administrative Sciences,C
Journal of Economic and Social Measurement,C
Journal of Economic and Social Policy,C
Journal of Economic Behavior and Organization,A*
Journal of Economic Development,C
Journal of Economic Dynamics and Control,A*
Journal of Economic Geography,A
Journal of Economic Growth,A*
Journal of Economic Insight,C
Journal of Economic Integration,C
Journal of Economic Interaction and Coordination,B
Journal of Economic Issues,B
Journal of Economic Literature,A*
Journal of Economic Methodology,B
Journal of Economic Perspectives,A*
Journal of Economic Policy Reform,B
Journal of Economic Psychology,A
Journal of Economic Research,B
Journal of Economic Science Association,A
Journal of Economic Studies,B
Journal of Economic Surveys,A
Journal of Economic Theory,A*
Journal of Economics,B
Journal of Economics / Ekonomicky casopis,B
Journal of Economics & Management Strategy,A
Journal of Economics and Business,B
Journal of Economics and Finance,B
Journal of Economics and Finance Education,C
Journal of Economics and Statistics,B
"Journal of Economics, Theology and Religion",B
Journal of Ecotourism,B
Journal of Education and Work,B
Journal of Education Finance,C
Journal of Education for Business,C
Journal of Educational Administration,B
Journal of Electronic Commerce in Organizations,B
Journal of Electronic Commerce Research,B
Journal of Emerging Market Finance,B
Journal of Emerging Technologies in Accounting,B
Journal of Empirical Finance,A
Journal of Empirical Generalisations in Marketing Science,C
Journal of Empirical Legal Studies,A*
Journal of Employment Counseling,A
Journal of Energy and Development,C
Journal of Engineering and Technology Management,B
"Journal of Engineering, Design and Technology",C
Journal of Enterprise Information Management,A
Journal of Enterprising Communities: People and Places in the Global Community,C
Journal of Entrepreneurship,C
Journal of Entrepreneurship in Emerging Economies,C
Journal of Environment and Development,B
Journal of Environmental Economics and Management,A*
Journal of Environmental Law,B
Journal of Environmental Management,A
Journal of Environmental Planning and Management,B
Journal of Euromarketing,C
Journal of European Economic History,B
Journal of European Public Policy,A
Journal of European Real Estate Research,C
Journal of Evolutionary Economics,A
Journal of Experimental Psychology: Applied,A
Journal of Experimental Psychology: general,A*
"Journal of Experimental Psychology: learning, memory, and cognition",A
Journal of Experimental Social Psychology,A
Journal of Facilities Management,C
Journal of Family and Economic Issues,B
Journal of Family Business Strategy,B
Journal of Fashion Marketing and Management,B
Journal of Finance Case Research,C
Journal of Financial and Quantitative Analysis,A*
Journal of Financial Counseling and Planning,C
Journal of Financial Crime,B
Journal of Financial Econometrics,A*
Journal of Financial Economic Policy,B
Journal of Financial Economics,A*
Journal of Financial Education,B
Journal of Financial Intermediation,A*
Journal of Financial Management and Analysis,C
Journal of Financial Management of Property and Construction,C
"Journal of Financial Management, Markets and Institutions",C
Journal of Financial Markets,A*
Journal of Financial Regulation,B
Journal of Financial Regulation and Compliance,C
Journal of Financial Reporting,A
Journal of Financial Reporting and Accounting,C
Journal of Financial Research,A
Journal of Financial Services Marketing,B
Journal of Financial Services Research,A
Journal of Financial Stability,A
Journal of Food Distribution Research,C
Journal of Food Products Marketing,B
Journal of Foodservice,C
Journal of Foodservice Business Research,C
Journal of Forecasting,A
Journal of Forensic & Investigative Accounting,B
Journal of Forensic Accounting Research,B
Journal of Forensic Economics,C
Journal of Forest Economics,B
Journal of Gambling Issues,B
Journal of Gambling Studies,A
Journal of General Management,B
Journal of Global Business and Economics,C
Journal of Global Economic Analysis,B
Journal of Global Fashion Marketing,B
Journal of Global Information Management,A
Journal of Global Information Technology Management,B
Journal of Global Marketing,B
Journal of Global Mobility,B
Journal of Global Operations and Strategic Sourcing,C
Journal of Global Responsibility,C
Journal of Global Scholars of Marketing Science,B
Journal of Global Sport Management,C
Journal of Globalization and Development,B
Journal of Governmental & Nonprofit Accounting,B
Journal of Health Economics,A*
"Journal of Health Politics, Policy and Law",A
Journal of Health Services Research and Policy,B
"Journal of Health, Organization and Management",B
"Journal of Health, Safety and Environment",B
Journal of Heritage Tourism,B
Journal of Higher Education Policy and Management,B
Journal of Historical Research in Marketing,B
Journal of Hospitality and Tourism Education,B
Journal of Hospitality and Tourism Insights,C
Journal of Hospitality and Tourism Management,A
Journal of Hospitality and Tourism Research,A
Journal of Hospitality and Tourism Technology,B
Journal of Hospitality Application and Research,C
Journal of Hospitality Marketing and Management,A
"Journal of Hospitality, Leisure, Sport & Tourism Education",B
Journal of Housing Economics,A
Journal of Housing Research,B
Journal of Human Capital,A
Journal of Human Development and Capabilities,B
Journal of Human Resource Costing and Accounting,C
Journal of Human Resources,A*
Journal of Human Resources in Hospitality and Tourism,B
Journal of Humanitarian Logistics and Supply Chain Management,C
Journal of Income Distribution,B
Journal of Index Investing,C
Journal of Indian Business Research,C
Journal of Industrial and Management Optimization,B
Journal of Industrial Information Integration,C
Journal of Industrial Relations,A
"Journal of Industry, Competition and Trade",C
Journal of Informatics Education and Research,C
Journal of Information and Knowledge Management,C
Journal of Information and Optimization Sciences,C
Journal of Information Communication and Ethics in Society,B
Journal of Information Systems,A
Journal of Information Systems Education,B
Journal of Information Systems Security,C
Journal of Information Technology,A*
Journal of Information Technology Case and Application Research,C
Journal of Information Technology Education: Research,C
Journal of Information Technology Theory and Application,A
Journal of Innovation & Knowledge,A
Journal of Innovation Economics,C
Journal of Innovation Management,C
Journal of Institutional and Theoretical Economics,A
Journal of Institutional Economics,B
Journal of Insurance Issues,B
Journal of Intellectual Capital,B
Journal of Intellectual Property Law and Practice,B
Journal of Intelligent Information Systems,B
Journal of Intelligent Manufacturing,B
Journal of Intelligent Transportation Systems,B
Journal of Interactive Advertising,B
Journal of Interactive Marketing,A
Journal of Interdisciplinary Economics,C
Journal of International Accounting Research,A
"Journal of International Accounting, Auditing and Taxation",B
Journal of International Agricultural Trade and Development,C
Journal of International Banking Law and Regulation,C
Journal of International Business and Economy,C
Journal of International Business Studies,A*
Journal of International Commercial Law,C
Journal of International Commercial Law and Technology,C
Journal of International Consumer Marketing,B
Journal of International Development,B
Journal of International Economic Law,A
Journal of International Economic Studies,C
Journal of International Economics,A*
Journal of International Education in Business,C
Journal of International Finance and Economics,C
Journal of International Financial Management and Accounting,B
"Journal of International Financial Markets, Institutions and Money",A
Journal of International Food and Agribusiness Marketing,B
Journal of International Management,A
Journal of International Marketing,A
Journal of International Marketing and Exporting,C
Journal of International Marketing and Marketing Research,C
Journal of International Migration and Integration,C
Journal of International Money and Finance,A
Journal of International Relations and Development,C
Journal of International Taxation,C
Journal of International Technology and Information Management,C
Journal of Internet Banking and Commerce,C
Journal of Internet Commerce,B
Journal of Inter-Organizational Relationships,B
Journal of Investing,B
Journal of Investment Compliance,C
Journal of Investment Consulting,C
Journal of Investment Management,C
Journal of Islamic Accounting and Business Research,C
"Journal of Islamic Economics, Banking and Finance",C
Journal of Islamic Marketing,B
Journal of Knowledge Management,A
Journal of Knowledge Management Practice,B
Journal of Korea Trade,C
Journal of Labor and Society,C
Journal of Labor Economics,A*
Journal of Labor Research,B
Journal of Language and Social Psychology,B
Journal of Law and Financial Management,C
Journal of Law and Society,B
"Journal of Law, Economics & Policy",B
"Journal of Law, Economics and Organization",A
"Journal of Law, Information and Science",B
Journal of Leadership and Organizational Studies,B
Journal of Legal Aspects of Sport,C
Journal of Legal Economics,B
Journal of Legal Studies in Business,C
Journal of Legal Technology Risk Management,C
Journal of Leisure Research,A
Journal of Librarianship and Information Science,B
Journal of Macroeconomics,A
Journal of Macromarketing,A
Journal of Malaysian and Comparative Law,C
Journal of Management,A*
Journal of Management & Organization,B
Journal of Management Accounting Research,A*
Journal of Management Analytics,C
Journal of Management and Governance,C
Journal of Management Control,A
Journal of Management Development,C
Journal of Management Education,B
Journal of Management History,B
Journal of Management in Engineering,A
Journal of Management Information Systems,A*
Journal of Management Inquiry,A
Journal of Management Spirituality and Religion,C
Journal of Management Studies,A*
Journal of Managerial Issues,C
Journal of Managerial Psychology,B
Journal of Manufacturing Systems,B
Journal of Manufacturing Technology Management,B
Journal of Maritime Law and Commerce,A
Journal of Marketing,A*
Journal of Marketing & Social Research,C
Journal of Marketing Analytics,C
Journal of Marketing Behaviour,B
Journal of Marketing Communications,B
Journal of Marketing Education,B
Journal of Marketing for Higher Education,B
Journal of Marketing Management,A
Journal of Marketing Research,A*
Journal of Marketing Theory and Practice,B
Journal of Markets & Morality,B
Journal of Mathematical Economics,A
Journal of Media Economics,B
Journal of Medical Economics,C
Journal of Medical Marketing,C
Journal of Modelling in Management,C
Journal of Modern Applied Statistical Methods,B
Journal of Monetary Economics,A*
Journal of Money Laundering Control,C
"Journal of Money, Credit and Banking",A*
"Journal of Money, Investment and Banking",C
Journal of Multi-Criteria Decision Analysis,B
Journal of Multinational Financial Management,B
Journal of Multivariate Analysis,A
Journal of New Business Ideas and Trends,C
Journal of Nonparametric Statistics,B
Journal of Nonprofit & Public Sector Marketing,B
Journal of Occupational and Organizational Psychology,A
Journal of Occupational Health Psychology,A
Journal of Operational Risk,C
Journal of Operations Management,A*
Journal of Optimization Theory and Applications,A
Journal of Organizational and End User Computing,B
Journal of Organizational Behavior,A*
Journal of Organizational Behavior Education,C
Journal of Organizational Behavior Management,B
Journal of Organizational Change Management,B
Journal of Organizational Computing and Electronic Commerce,A
Journal of Organizational Effectiveness,B
Journal of Park and Recreation Administration,B
Journal of Pension Economics and Finance,B
Journal of Performance Management,C
Journal of Performance of Constructed Facilities,C
Journal of Personal Selling & Sales Management,A
Journal of Personality,A
Journal of Personality and Social Psychology,A*
Journal of Personality Assessment,A
Journal of Personnel Psychology,B
"Journal of Pharmaceutical Finance, Economics and Policy",C
Journal of Place Management and Development,C
Journal of Policy Analysis and Management,A
Journal of Policy Modeling,A
"Journal of Policy Research in Tourism, Leisure and Events",B
Journal of Political Economy,A*
Journal of Political Marketing,B
Journal of Political Power,C
Journal of Population Economics,A
Journal of Population Research,A
Journal of Post Keynesian Economics,B
Journal of Product & Brand Management,A
Journal of Product Innovation Management,A*
Journal of Productivity Analysis,A
Journal of Professional Issues in Engineering Education and Practice,B
Journal of Professions and Organization,A
Journal of Promotion Management,B
Journal of Property Investment & Finance,B
Journal of Property Management,C
Journal of Property Research,B
Journal of Public Administration Research and Theory,A
Journal of Public Affairs,B
"Journal of Public Budgeting, Accounting and Financial Management",B
Journal of Public Economic Theory,A
Journal of Public Economics,A*
Journal of Public Finance and Public Choice,C
Journal of Public Policy,B
Journal of Public Policy and Marketing,A
Journal of Public Relations Education,C
Journal of Public Relations Research,B
Journal of Public Transportation,B
Journal of Purchasing and Supply Management,A
Journal of Quality Assurance in Hospitality & Tourism,B
Journal of Quality in Maintenance Engineering,B
Journal of Quality Technology,A
Journal of Quantitative Economics,B
Journal of Real Estate Finance and Economics,A
Journal of Real Estate Literature,C
Journal of Real Estate Portfolio Management,B
Journal of Real Estate Practice and Education,C
Journal of Real Estate Research,B
Journal of Regional Science,A
Journal of Regulatory Economics,A
Journal of Relationship Marketing,B
Journal of Research and Practice in Information Technology,C
Journal of Research for Consumers,C
Journal of Research in Interactive Marketing,B
Journal of Research in Marketing and Entrepreneurship,B
Journal of Research in Personality,A
Journal of Research on Technology in Education,C
Journal of Retailing,A*
Journal of Retailing and Consumer Services,A
Journal of Retirement,B
Journal of Revenue & Pricing Management,B
Journal of Risk,B
Journal of Risk and Financial Management,B
Journal of Risk and Insurance,A
Journal of Risk and Uncertainty,A*
Journal of Risk Management in Financial Institutions,C
Journal of Risk Research,C
Journal of Safety Research,A
Journal of Scheduling,A
Journal of Science and Technology Policy Management,C
Journal of Selling,C
Journal of Service Management,A
Journal of Service Research,A*
Journal of Service Theory and Practice,A
Journal of Services Marketing,A
Journal of Services Research,C
Journal of Simulation,B
Journal of Small Business and Enterprise Development,C
Journal of Small Business and Entrepreneurship,C
Journal of Small Business Management,A
Journal of Small Business Strategy,C
Journal of Social and Economic Development,C
Journal of Social Entrepreneurship,B
Journal of Social Issues,A
Journal of Social Marketing,B
Journal of Social Policy,A
Journal of Social Psychology,B
"Journal of Social, Political and Economic Studies",C
Journal of Sociology,B
Journal of Software: Evolution and Process,C
Journal of South Asian Development,C
Journal of Southeast Asian Economies,C
Journal of Southeast Asian Studies,C
Journal of Sponsorship,C
Journal of Sport and Social Issues,B
Journal of Sport and Tourism,B
Journal of Sport Behavior,B
Journal of Sport for Development,B
Journal of Sport History,C
Journal of Sport Management,A
Journal of Sports Economics,B
Journal of State Taxation,C
Journal of Statistical Computation and Simulation,C
Journal of Statistical Planning and Inference,A
Journal of Statistical Research,C
Journal of Statistical Software,A
Journal of Statistical Theory and Applications,C
Journal of Statistics and Management Systems,C
Journal of Statistics Education,B
Journal of Strategic Information Systems,A*
Journal of Strategic Marketing,A
Journal of Strategy and Management,C
Journal of Supply Chain Management,A
Journal of Sustainable Tourism,A*
Journal of Systems and Information Technology,B
Journal of Systems and Software,B
"Journal of Targeting, Measurement and Analysis for Marketing",C
Journal of Tax Administration,B
Journal of Taxation,B
Journal of Taxation of Investments,C
Journal of Teaching in International Business,C
Journal of Teaching in Travel & Tourism,B
Journal of Technology Management & Innovation,C
Journal of Technology Management in China,C
Journal of Technology Transfer,B
Journal of the Academy of Marketing Science,A*
Journal of the ACM,C
Journal of the American Medical Informatics Association,A
Journal of the American Statistical Association,A*
Journal of the American Taxation Association,A
Journal of the Asia Pacific Centre for Environmental Accountability,C
Journal of the Asia Pacific Economy,B
Journal of the Association for Consumer Research,B
Journal of the Association for Information Science and Technology,A*
Journal of the Association for Information Systems,A*
Journal of the Association of Environmental and Resource Economists,A
Journal of the Australasian Law Academics Association,B
Journal of the Australasian Tax Teachers Association,B
Journal of the Economic and Social History of the Orient,B
Journal of the Economics of Ageing,B
Journal of the European Economic Association,A*
Journal of the History of Economic Thought,B
Journal of the International Academy of Hospitality Research,C
Journal of the Japan Statistical Society,C
Journal of the Japanese and International Economies,A
Journal of the Knowledge Economy,C
Journal of the New Economic Association,C
Journal of the Operational Research Society,A
Journal of the Operations Research Society of Japan,B
"Journal of the Royal Statistical Society, Series A (Statistics in Society)",A
"Journal of the Royal Statistical Society, Series B (Statistical Methodology)",A*
"Journal of the Royal Statistical Society, Series C (Applied Statistics)",A
"Journal of the Royal Statistical Society, Series D (The Statistician)",A
Journal of the Statistical and Social Inquiry Society of Ireland,C
Journal of the Transportation Research Forum,C
Journal of the UK Association of Christian Economists,C
Journal of Theoretical and Applied Electronic Commerce Research,B
Journal of Theoretical Probability,A
Journal of Time Series Analysis,A
Journal of Time Series Econometrics,B
Journal of Tourism and Cultural Change,B
Journal of Tourism Challenges and Trends,C
Journal of Tourism Futures,C
Journal of Tourism History,C
Journal of Transnational Management,C
Journal of Transport and Health,B
Journal of Transport and Land Use,B
Journal of Transport Geography,A
Journal of Transport History,C
"Journal of Transport, Economics and Policy",A
Journal of Transportation and Statistics,C
Journal of Transportation Engineering,B
"Journal of Transportation Law, Logistics and Policy",C
Journal of Transportation Security,B
Journal of Transportation System Engineering and Information Technology,B
Journal of Travel & Tourism Marketing,A
Journal of Travel and Tourism Research,C
Journal of Travel Research,A*
