Venue,Rank
World Congress on Engineering Asset Management|WCEAM-IMS,C
World Sustainable Building Conference|SB,C
"WSEAS International Conference on Robotics, Control and Manufacturing Technology|ROCOM",C
IEEE Pacific-Rim Conference on Multimedia|PMIP,C
ACM Workshop on Role Based Access Control (now SACMAT)|RBAC,C
"Annual IASTED International Conference on Networks, Parallel and Distributed Processing and Applications|NPDP",C
IASTED International conference Law and Technology|LawTech,C
IASTED International Conference on Applied Informatics|AI,C
IASTED International Conference on Applied Simulation and Modelling|ASM,C
IASTED International Conference on Artificial Intelligence and Soft Computing|ASC,C
IASTED International Conference on Computers and Advanced Technology in Education|CATE,C
IASTED International Conference on Intelligent Systems and Control|ISC,C
"IASTED International Conference on Internet, Multimedia Systems and Applications|IMSA",C
IASTED International Conference on Modelling and Simulation|MS,C
"IASTED International Conference on Modelling, Identification, and Control|MIC",C
IASTED International Conference on Parallel and Distributed Computing and Networks|PDCN,C
IASTED International Conference on Parallel and Distributed Computing and Systems|PDCS,C
IASTED International Conference on Robotics and Manufacturing|RM,C
IASTED International Conference on Signal and Image Processing|SIP,C
IASTED International Conference on Software Engineering|SE,C
IASTED International Conference on Software Engineering and Applications|SEA,C
"IASTED International Conference on Visualization, Imaging, and Image Processing|VIIP",C
"IASTED International Conferenceon AI, Exp Sys & Neural Networks|AEN",C
IEEE Conference on Electronic Commerce Technology (merger of CEC and EEE)|CEC,C
International Conference on Applications of Prolog (no information after 2013)|INAP,C
International Conference on Computational Intelligence and Software Engineering|CISE,C
International Conference on Declarative Programming and Knowledge Management (no information after 2013)|INAP,C
"IASTED International Conference on Modelling, Simulation and Optimisation|ICMSO",C
International Conference on Spoken Language Processing|ICSLP,C
International Conference on Vision Theory and Applications (Joined with GRAPP from 2008)|VISAPP,C
"International Symposium on Intelligent Multimedia, Video and Speech Processing|ISIMP",C
International Workshop in Software Measurement (Joined with Mensura from 2007)|IWSM,C
"Knowledge Acquisition, Modelling and Management Workshop (No longer Exists)|KAW",C
Argentine Symposium on Artificial Intelligence|ASAI,C
International Conference on Web-Age Information Management|WAIM,C
International Conference on High-Performance Clustered Computing (International Conference on Linux Clusters)|LCI,C
Law via the Internet|LI,C
Workshop on Localized Algorithms and Protocols for Wireless Sensor Networks|LOCALGOS,C
European Workshop on Modelling Autonomous Agents in a Multi-Agent World|MAAMAW,C
Workshop on Massive Data Algorithmics|Massive,C
"Colloquium on Mathematics and Computer Science: Algorithms, Trees, Combinatorics and Probabilities|MathInfo",C
"Multimedia Content Access: Algorithms and Systems (was Multimedia Content Analysis, Management and Retrieval)|MCA:AS",C
Mobility in Databases and Distributed Systems|MDDS,C
"International Workshop on Multimedia Data Storage, Retrieval, Integration and Applications|MDSRIA",C
International Conference on Medical Information  Visualisation|MediVis,C
Mining for Enhanced Web Search|MEWS,C
International Workshop on Middleware for Grid Computing|MGC,C
ACM International Workshop On Multimedia Databases|MMDB,C
IEEE International Conference on Multimedia in Education|MME,C
Mathematical Methods in Computer Science|MMICS,C
Workshop on Data Engineering for Wireless and Mobile Access|MobiDE,C
Multiple Objective Decision Support System Conference|MODSS,C
Summer School on Modelling and Verification of Parallel Processes|MOVEP,C
International Workshop on Modelling and Visualization of XML and Semantic Web Data|MOVIX,C
Workshop on Multiparadigm Programming with OO Languages|MPOOL,C
SPIE International Conference on Multimedia Storage and Archiving Systems|MSAS,C
"International Workshop on Modelling, Simulation, Verification and Validation of Enterprise Information Systems|MSVVEIS",C
International Workshop on Metamodelling - Utilization in Software Engineering|MUSE,C
NAISO Congress on Autonomous Intelligent Systems|NAISO,C
Joint Conference on New Methods in Language Processing and Computational Natural Language Learning|NeMLaP,C
International Symposium on Next Generation Data Base Systems and Applications|NGDB,C
Workshop on Nature Inspired Distributed Computing|NISDIC,C
International Conference on New Trends of Information and Service Science|NISS,C
IEEE International Workshop on Neural Networks for Signal Processing|NNSP,C
"International Conference on Neural, Parallel and Scientific Computations|NPSC",C
"International Workshop on Nonmonotonic Reasoning, Action and Change|NRAC",C
Workshop on Network-Related Data Management|NRDM,C
International Conference on Next Generation Web Services Practices|NWESP,C
Organisations and Society in Information Systems Workshop|OASIS,C
Optimal Discrete Structures and Algorithms|ODSA,C
"Joint OECC, IOCC & ACOFT|OESS/IOCC/ACOFT",C
Workshop on On-Line Algorithms|OLA,C
Workshop on Object-Oriented Database Systems|OODBS,C
International Conference on Object Oriented Information Systems|OOIS,C
"Conference on Orders, Algorithms and Applications|Ordal",C
Optimization: Techniques And Applications|OTA,C
PACES & ICIL|P&I,C
IEEE International Conference on Peer to Peer Computing|P2P,C
Workshop on Economics of Peer-to-Peer Systems|P2P Econ,C
Practical Application of Intelligent Agents and Multi-Agent Technology Conference|PAAM,C
Workshop on Parallel and Distributed Debugging ACM/ONR|PADD,C
Symposium on Programs as Data Objects|PADO,C
Practical Aspects of PROLOG/Constraint Technology|PAP/PACT,C
Pacific-Asia Workshop on Electronic Commerce|PAWEC,C
Workshop on Physics and Computation|PC,C
SPIE Conference on Performance and Control of Network Systems|PCNS,C
International Parallel Computing Workshop|PCW,C
Parallel and Distributed Information Systems|PDIS,C
"Processing Declarative Knowledge, International Workshop|PDK",C
Joint AUPEC & EECON|PEC&CON,C
Workshop on Probabilistic Graph Theory|PGT,C
International Symposium on Physical Design|PHYSDES,C
Workshop on New Technologies for Personalized Information Access|PIA,C
Annual PKI R&D Workshop|PKI,C
Programming Language Techniques for XML|PLAN-X,C
Practices of Linking Aspect Technology and Evolution|PLATE,C
Pan Pacific Conference on Information Systems|PPCIS,C
International Workshop on Pattern Recognition in Information Systems|PRIS,C
"International Conference on Probability, Statistics and Operational Research|PSOR",C
Program Visualization Workshop|PVW,C
Workshop on Quantum Information Processing|QIP,C
International Workshop on Quality of Information Systems|QOIS,C
International Conference on Experimental Implementation of Quantum Computation|QuantCom,C
International Workshop on the Sate of the Art in Cryptology and New Challenges Ahead|Quo Vadis Cryptology,C
International Conference on Recent Advances in Information Technology and Applications|RAITA,C
"Reflection, AOP and Meta-Data for Software Evolution|RAM-SE",C
Relationships and Associations in Object-Oriented Languages|RAOOL,C
International Workshop on Realising Evidence-based Software Engineering|REBSE,C
"International Conference on CAD/CAM, Robotics and Factories of the Future|RFF",C
Conference on RFID Security|RFIDSec,C
"International Conference on Relations, Orders and Graphs: Interaction with Computer Science|ROGICS",C
"Annual Convention for Survey, Mapping and Remote Sensing|RS",C
Workshop on Real-Time Databases|RTDB,C
"Symposium on Stochastic Algorithms, Foundations and Applications|SAGA",C
South African International Graph Theory Conference|SAIGTC,C
International Symposium on Applications and the Internet|SAINT,C
International Conference on Semantic and Digital Media Technologies|SAMT,C
Conference on Security in Network Architectures and Information Systems|SAR-SSI,C
State of the Art of Stream Ciphers|SASC,C
Spring Conference on Computer Graphics|SCCG,C
"Soft Computing in Computer Graphics, Imaging, and Vision|SCCGIV",C
IEEE Workshop on Speech Coding|SCW,C
International IEEE Workshop on Software Evolvability|SE,C
International Workshop on Software Engineering for High Performance Computing Applications|SE-HPC,C
"Search: Workshop on Search, Sorting and Coding|Search",C
The Conference on visualization of information|SEE,C
Sensor Networks,C
Systems Engineering / Test and Evaluation Conference|SETE,C
International Conference on Software Engineering Theory and Practice|SETP,C
Visualization in Software Engineering|SEViz,C
Special-purpose Hardware for Attacking Cryptographic Systems|SHARCS,C
"Workshop on Scientific Knowledge, Information, and Computing|SIDEKIC",C
IEEE Systems and Information Engineering Design Symposium|SIEDS,C
ACM SIGIR Workshop on XML and Information Retrieval|SIGIR/XML,C
Lexical Semantics and Knowledge Representation|SIGLEX,C
Conference on Office Information Systems|SIGOA,C
Spatial Information Research Centre Colloquium|SIRC,C
Spatial Information Science and Technology Conference|SIST,C
International IEEE Security in Storage Workshop|SISW,C
Society for Information Technology and Teacher Education Conference|SITE,C
Stochastic Local Search Algorithms|SLS,C
Workshop on Service Oriented Computing|SOCASE,C
Service Oriented Computing: Consequences for Engineering Requirements|SOCCER,C
Symposium on Computational Geometry for Mechanics and Applications|SOCGMA,C
ACM Symposium on Principles of Database Systems|SPDS,C
Workshop on Security and Privacy in e-Commerce|SPEC,C
Software Performance Enhancement for Encryption and Decryption|SPEED,C
Software Quality Conference|SQC,C
Symposium on Requirements Engineering for Information Security|SREIS,C
Software Education Conference|SRIG-ET,C
Storage and Retrieval for Media Databases (was Storage and Retrieval for Image and Video Databases)|SRMD,C
"International Conference on Advances in Infrastructure for Electronic Business, Science, and Education on the Internet|SSGRR",C
IEEE International Symposium on Security in Networks and Distributed Systems|SSNDS,C
International Conference on Systems Thinking in Management|STM,C
SIGIR workshop: Stylistic Analysis of Text For Information Access|Style,C
IEEE International Workshop on Databases for Next-Generation Researchers|SWOD,C
ACM Workshop on Secure Web Services|SWS,C
The International Conference on Semantic Web and Web Services|SWWS,C
International Conference on Theory and Applications of Computational Science|TACS,C
TAI: Algorithmic Information Theory: Kolmogorov Complexity|TAI,C
Theory and Applications of Knowledge MAnagement|TAKMA,C
International Joint Conference CAAP/FASE on Theory and Practice of Software Development|TAPSOFT,C
International Workshop on Temporal Databases|TDB,C
International Conference on Technology Education|TE,C
Topological and Geometric Graph Theory|TGGT,C
Trustworthy Interfaces for Passwords and Personal Information workshop|TIPPI,C
ACM SIGPLAN Workshop on Types in Language Design and Implementation (was TIC)|TLDI,C
International Conference on Theoretical and Mathematical Foundations of Computer Science|TMFCS,C
Techniques and Problems in Graph Theory|TPGT,C
Annual International Conference on Ada|TRI-Ada,C
USENIX Workshop on Electronic Commerce|USENIX EC,C
USENIX Windows NT Symposium|UWNTS,C
SPIE Conference on Visual Data Exploration and Analysis|VDEA,C
Vision Interface|VI,C
Pan-Sydney Area Workshop on Visual Information Processing|VIP,C
Visualization in Software Product Lines Workshop|VisPLE,C
International Conference on Visual Information Systems|VISUAL,C
ENVI and IDL Data Analysis and Visualization Symposium|VISualize,C
Visual Languages and Formal Methods|VLFM,C
Semantic Web Visualisation|VSW,C
Workshop on Algorithmic Aspects of Advanced Programming Languages|WAAAPL,C
IEEE Workshop on Advances in Techniques for Analysis of Remotely Sensed Data|WARDS,C
Workshop on Cryptography for Ad hoc Networks|WCAN,C
World Computer Congress|WCC,C
World Conference on Computers in Education|WCCE,C
Workshop on Computational Graph Theory and Combinatorics|WCGTC,C
Workshop on Component-Oriented Programming|WCOP,C
Workshop on Distributed Data and Structures|WDAS,C
"Workshop on Duplicating, Deconstructing, and Debunking|WDDD",C
Workshop on Web Usage Analysis|WebKDD,C
World Conference on the WWW and Internet|WebNet,C
International Conference on Web-based Modelling and Simulation|WebSim,C
Web Visualization|WebViz,C
International Workshop on Entertainment Computing|WEC,C
International Computer Symposium Workshop|WICS,C
International Workshop on Web Information Systems Modelling|WISM,C
International Workshop on Issues in the Theory of Security|WITS,C
International Conference on Knowledge Discovery and Data Mining|WKDD,C
International Workshop on Mobile Commerce and Services|WMCS,C
Workshop on Object-Oriented Development|WOOD,C
IEEE International Conference on Parallel Processing Workshops|WoPP,C
International Workshop on Security in Information Systems|WOSIS,C
International Workshop on Software Quality|WoSQ,C
IAVoSS Workshop On Trustworthy Elections|WOTE,C
Workshop on Parameterized Complexity|WPC,C
Workshop on Robust Shape Operations|WRSO,C
IEEE International Symposium on Web Systems Evolution|WSE,C
Workshop on Theoretical and Algorithmic Aspects of Sensor and Ad-hoc Networks|WTASA,C
International Conference on Worldwide Computing and Its Applications|WWCA,C
International Workshop on Schema Languages for XML|X-Schemas,C
International XML Database Symposium|Xsym,C
Asia-Pacific Services Computing Conference|APSCC,C
Asia-Pacific Software Engineering Conference|APSEC,C
Web and Big Data|APWEB,C
IEEE Symposium on Computer Arithmetic|ARITH,C
International Symposium on Artificial Life and Robotics|AROB,C
IEEE Automatic Speech Recognition and Understanding Workshop|ASRU,C
Automation of Software Test|AST,C
International Conference on Advanced and Trusted Computing (was International Conference on Autonomic and Trusted Computing)|ATC,C
"Workshop on Algorithmic Approaches for Transportation Modelling, Optimization, and Systems|ATMOS",C
"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies|BDCAT",C
IEEE Bioinformatics and Bioengineering|BIBE,C
"International Conference on Broadband Communications, Networks and Systems|Broadnets",C
Body Sensor Networks|BSN,C
Association for Computer-Aided Architectural Design Research in Asia (CAADRIA) annual conference|CAADRIA,C
ISCA International Conference on Computer Applications in Industry and Engineering|CAINE,C
International Conference on Computer Analysis of Images and Patterns|CAIP,C
"Computer Animation, Information Visualisation, and Digital Effects|CAivDE",C
Smart Card Research and Advanced Application Conference|CARDIS,C
International Conference on Computability and Complexity in Analysis|CCA,C
International Cross-Domain Conference for Machine Learning and Knowledge Extraction|CD-MAKE,C
"Cooperative Design, Visualization, and Engineering|CDVE",C
Computer Graphics International|CGI,C
International Conference on Computer-Human Interaction Research and Applications|CHIRA,C
International Conference on Implementation and Application of Automata|CIAA,C
International Conference on Algorithms and Complexity (was Italian Conference )|CIAC,C
IberoAmerican Congress on Pattern Recognition|CIARP,C
IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology|CIBCB,C
International Conference on Intelligent Text Processing and Computational Linguistics|CICLING,C
Conference on Intelligent Computer Mathematics|CICM,C
IEEE Symposium on Computational Intelligence and Data Mining|CIDM,C
Computability in Europe: Logic and Theory of Algorithms|CiE,C
International Workshop on Combinations of Intelligent Methods and Applications|CIMA,C
IEEE International Conference on Cybernetics and Intelligent Systems|CIS,C
"International Conference on Complex, Intelligent and Software Intensive Systems|CISIS",C
IEEE International Conference on Computer and Information Technology|CIT,C
Latin American Conference on Informatics|CLEI,C
International Conference on Cloud Computing and Services Science|CLOSER,C
IEEE International Conference on Cloud Computing Technology and Science (International Conference on Cloud Computing pre 2010)|CloudCom,C
Conference on Combinatorial Optimization and Applications|COCOA,C
"International Conference on Control, Decision and Information Technologies|CoDIT",C
"International Workshop on Coordination, Organizations, Institutions, Norms and Ethics for Governance of Multi-Agent Systems (Ethics added 2020)|COINE",C
"International Conference on Complexity, Future Information Systems and Risk|COMPLEXIS",C
International Conference on Coordination Models and Languages|Coordination,C
Workshop on Constraint Satisfaction for Planning and Scheduling|COPLAS,C
International Conference on Risks and Security of Internet and Systems|CRiSIS,C
International Workshop on Critical Information Infrastructures Security|CRITIS,C
International Conference on Computer Supported Cooperative Work in Design|CSCWD,C
"Conference on Software Engineering Education and Training (previously Conference is Software Engineering Education, CSEE, changed in 1997)|CSEET",C
Cologne-Twente Workshop on Graphs and Combinatorial Optimization|CTW,C
International Conference on Cyberworlds (was International Symposium on Cyberworlds)|CW,C
Digital Audio Effects Conference|DAFX,C
IFIP International Conference on Distributed Applications and Interoperable Systems|DAIS,C
International Workshop on Data Management on New Hardware|DaMoN,C
"International Conference on Dependable, Autonomic and Secure Computing|DASC",C
International Conference on Dublin Core and Metadata Applications|DC,C
Developments in eSystems Engineering|DeSE,C
International Conference on Database and Expert Systems Applications|DEXA,C
The Theory and Application of Diagrams|DIAGRAMS,C
Digital Games Research Conference|DIGRA,C
Dynamic Languages Symposium|DLS,C
Developments in Language Theory|DLT,C
SIAM Conference on Discrete Mathematics|DM,C
International Symposium on Distributed Simulation and Real Time Applications|DS-RT,C
Workshop on Domain Specific Modelling|DSM,C
International Workshop on Principles of Diagnosis|DX,C
Conference of the European Association for Machine Translation|EAMT,C
International Conference on Engineering Applications of Neural Networks|EANN,C
EURO AMERICAN CONFERENCE ON TELEMATICS AND INFORMATION SYSTEMS|EATIS,C
European Conference on Computational Biology|ECCB,C
European Chapter on Combinatorial Optimization|ECCO,C
European Conference on Digital Government (was European Conference on e-Government ECEG)|ECDG,C
"World Conference on Educational Multimedia, Hypermedia and Telecommunications|ED-MEDIA",C
Eurographics Symposium on Parallel Graphics and Visualization|EGPGV,C
International Conference on Artificial Reality and Telexistance & Eurographics Symposium on Virtual Environments|EGVE,C
European-Japanese Conference on Information Modelling and Knowledge Bases|EJC,C
Exploring Modelling Methods in Systems Analysis and Design|EMMSAD,C
International Conference on Information and Communication Technologies in Tourism|ENTER,C
International Workshop on Enterprise and Organizational Modelling and Simulation|EOMAS,C
ETHICOMP Conference|ETHICOMP,C
IEEE/IFIP International Conference on Embedded and Ubiquitous Computing|EUC,C
European Conference on Multi-Agent Systems|EUMAS,C
European Conference on Operations Research|EURO,C
European Workshop on Computational Geometry|EuroCG,C
"EuroConference on Combinatorics, Graph Theory and Applications|EUroComb",C
European MPI Users' Group Conference|EuroMPI,C
Visual Analytics|EuroVA,C
Conference of the European Society for Fuzzy Logic and Technologies|EUSFLAT,C
International Conference on the Foundations of Digital Games|FDG,C
Forum on Specification and Design Languages|FDL,C
Workshop on Fault Diagnosis and Tolerance in Cryptography|FDTC,C
Frontiers in Education|FIE,C
International FLINS Conference on Robotics and Artificial Intelligence (was International Fuzzy Logic and Intelligent technologies in Nuclear Science Conference)|FLINS,C
Int. Workshop on Formal Methods for Industrial Critical Systems|FMICS,C
International Workshop on Formal Methods for interactive Systems|FMIS,C
"IFIP Joint International Conference on Formal Description Techniques and Protocol Specification, Testing, And Verification|FORTE",C
Flexible Query-Answering Systems|FQAS,C
Workshop on Formal Techniques for Java-like Programs|FTfJP,C
International Conference on Information Fusion|FUSION,C
IEEE Global Internet Symposium|GI,C
Geometry Modeling and Processing|GMP,C
"International Conference on Green, Pervasive and Cloud Computing (was Grid and Pervasive Computing)|GPC",C
Workshop on Applications of Graph Theory in Wireless Ad hoc Networks and Sensor Networks|Graph-hoc,C
International Wordnet Conference (Global Wordnet Conference)|GWC,C
Haskell Workshop|HASKELL,C
Heterogeneity in Computing Workshop|HCW,C
IEEE international conference on ehealth networking applications and services (was International Workshop on Enterprise Networking and Computing in Health Care Industry; changed 2006)|HealthCom,C
International Workshop on High-Level Parallel Programming Models and Supportive Environments|HIPS,C
International Conference on Hybrid Intelligent Systems|HIS,C
International workshop on High-Level Parallel Programming and Applications|HLPP,C
Symposium on High Performance Chips|HOTCHIPS (HCS),C
International Workshop on Developments in Computational Models|DCM,C
IEEE Symposium on Visual Analytics Science and Technology|IEEE VAST,C
International Symposium on Computer and Information Sciences|ISCIS,C
International Symposium on Information and Communication Technologies|ISICT,C
International Conference on Information Technology: Coding and Computing|ITCC,C
International Symposium on Intelligent and Interactive Multimedia: Systems and Services|KES IIMSS,C
Pacific-Rim Conference on Multimedia|PCM,C
New Technologies Mobility and Security|NTMS,C
International Conference on AD-HOC Networks and Wireless|ADHOC-NOW,C
Wireless Days|WD,C
Asia Information Retrieval Symposium|AIRS,C
European Conference on Ambient Intelligence|AmI,C
International and Interdisciplinary Conference on Modelling and Using Context|CONTEXT,C
International Conference on Discrete Geometry for Computer Imagery|DGCI,C
International Conference on Image Analysis and Recognition|ICIAR,C
MACIS: International Conference of Mathematical Aspects of Computer and Information Sciences|MACIS,C
Parallel Computing|PARCO,C
IEEE International Conference on Service-Oriented Computing and Applications|SOCA,C
International Workshop on Functional and Constraint Logic Programming|WFLP,C
International Conference on Informatics & Data-Driven Medicine|IDDM,C
CONFERENCE ON COMPUTER SCIENCE AND INTELLIGENCE SYSTEMS|FedCSIS,C
International Conference on Computational Models of Argument|COMMA,C
European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty|ECSQARU,C
ACM SIGGRAPH conference on Motion Interaction and Games|MIG,C
IFIP/IEEE International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks|PEMWN,C
International Conference on Factory Communication Systems|WFCS,C
Information Integration and Web-based Applications and Services|IIWAS,C
International Conference on Mobile and Ubiquitous Systems: Networks and Services|Mobiquitous,C
International Symposium on Design and Diagnostics of Electronic Circuits and Systems|DDECS,C
"International Conference on Data Science, Technology and Applications|DATA",C
International Conference on Advances in Mobile Computing and Multimedia|MOMM,C
International Conference on Image Processing Applications and Systems|IPAS,C
International Conference on Modelling and Simulation|ECMS,C
Euromicro Conference Series on Digital System Design|DSD,C
International Workshop on Data Warehousing and OLAP|DOLAP,C
IEEE International Working Conference on Source Code Analysis and Manipulation|SCAM,C
Symposium on Advances in DB and Information Systems|ADBIS,C
International Conference on Security and Privacy for Communication Networks|SecureComm,C
International Conference on Information Systems Security and Privacy|ICISSP,C
"ArtsIT, Interactivity & Game Creation (was International Conference on Arts and Technology)|ArtsIT",C
"International Conference on Collaborative Computing: Networks, Applications and Worksharing|CollaborateCom",C
International Conference on Model-Driven Engineering and Software Development|MODELSWARD,C
International Conference on Software and Data Technologies|ICSoft,C
International Conference on Web Information Systems and Technologies|WEBIST,C
International Conference on Artificial Neural Networks|ICANN,C
ACM International Conference on Multimedia in Asia|MM_Asia,C
Asian Conference on Machine Learning|ACML,C
"International Conference on Simulation and Modeling Methodologies, Technologies and Applications|SIMULTECH",C
IEEE International Conference on Cluster Computing|CLUSTER,C
IEEE International Symposium on Circuits and Systems|ISCAS,C
"International Conference on Artificial Intelligence in Music, Sound, Art and Design|EvoMUSART",C
International Conference on Formal Ontology in Information Systems|FOIS,C
On-Line Testing and Robust System Design|IOLTS,C
International Conference on Wireless Networks and Mobile Communications|WINCOM,C
International Conference on Neurosymbolic Learning and Reasoning|NeSy,C
IEEE International Conference on Content-Based Multimedia Indexing|CBMI,C
IEEE Industrial Electronics Society|IECON,C
IEEE International Conference on Computer Design|ICCD,C
International Conference on Computers in Education|ICCE,C
International Conference on Evolutionary Multi-Criterion Optimization|EMO,C
Euro XR International Conference (was Euro VR)|Euro XR,C
IEEE Global Engineering Education Conference|EDUCON,C
Conference on Games (was Computational Intelligence and Games CIG)|COG,C
International Conference of the Immersive Learning Research Network|iLRN,C
International Conference on the Simulation and Synthesis of Living Systems|ALIFE,C
International Conference on Interactive Digital Storytelling (2008 merger of 'ICVS International Conference on Virtual Storytelling' and 'TIDSE Technology for Interactive Digital Storytelling')|ICIDS,C
"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks|WoWMoM",C
"Software Quality, Reliability, and Security (was International Conference on Quality Software, QSIC, that merged with SERE 2015)|QRS",C
International Conference on Indoor Positioning and Indoor Navigation|IPIN,C
ACM International Conference on Interactive Media Experiences|IMX,C
"International Conference on Informatics in Control, Automation and Robotics|ICINCO",C
The ACM SIGCAS/SIGCHI Conference on Computing and Sustainable Societies|COMPASS,C
Workshop on Job Scheduling Strategies for Parallel Processing|JSSPP,C
IEEE International Conference on Industrial Informatics|INDIN,C
"AAAI/ACM Conference on AI, Ethics, and Society|AIES",C
International Joint Conference on Rough Sets (2014 International Conference on Rough Sets and Current Trends in Computing joined with 3 others)|IJCRS (was RSCTC),C
IEEE/IFIP International Conference on Very Large Scale Integration of System-on-Chip|VLSI-SOC,C
Symposium of Asian Association for Algorithms and Computation|AAAC,C
Conference on Algorithmic Aspects in Information and Management|AAIM,C
"International Conference Abstract State Machines, Alloy, B, TLA, VDM, and Z (Previously International Conference of B and Z Users, ZB, changed in 2008)|ABZ",C
Applied Computing Conference|ACC,C
"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)|ACE",C
International Conference on Advances in Computer-Human Interactions|ACHI,C
International Conference on Advanced Data Mining and Applications|ADMA,C
ACS/IEEE International Conference on Computer Systems and Applications|AICCSA,C
International Symposium on Algorithms and Experiments for  Wireless Networks|Algosensors,C
"International Conference on Probabilistic, Combinatorial, and Asymptotic Methods in the Analysis of Algorithms (was Conference on Analysis of Algorithms)|AofA",C
Asia Pacific Conference on Communications|APCC,C
Asia-Pacific Network Operations and Management Symposium|APNOMS,C
Conference of the Association of Asian-Pacific Operational Research Societies|APORS,C
"Machines, Computations and Universality (was Universal Machines and Computations)|MCU",C
International Conference on Management of Digital EcoSystems|MEDES,C
International Conference on Model and Data Engineering|MEDI,C
International Conference on Formal Methods and Models for Co-Design|MEMOCODE,C
International Workshop on Modelling in Software Engineering|MISE,C
International Workshop on Multimedia Signal Processing|MMSP,C
International Conference on Managed Programming Languages and Runtimes (was ManLang and previously Principles and Practice of Programming in Java: PPPJ)|MPLR,C
Machine Translation Summit|MT SUMMIT,C
International Symposium on the Mathematical Theory of Networks and Systems|MTNS,C
Applications of Natural Language to Data Bases|NLDB,C
IFIP International Conference on Network and Parallel Computing|NPC,C
New Security Paradigms Workshop|NSPW,C
"International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software|Onward",C
SIAM Conference on Optimization|OP,C
International Symposium on Open Collaboration (was International Symposiums on Wikis)|OPENSYM,C
"Pacific Asia Conference on Language, Information and Computation|PACLIC",C
Practical Aspects of Declarative Languages|PADL,C
International Conference on Pairing-based Cryptography|Pairing,C
Practice and Theory of Automated Timetabling|PATAT,C
International Picture Coding Symposium|PCS,C
"International Conference on Parallel and Distributed Computing, Applications and Technologies|PDCAT",C
"Euromicro International Conference on Parallel, Distributed and Network Based Processing|PDP",C
ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation|PEPM,C
Pacific Rim Knowledge Acquisition Workshop|PKAW,C
Pattern Languages of Programs|PLOP,C
Workshop on Programming Languages and Operating Systems|PLOS,C
International Conference on Principles and Practice of Declarative Programming|PPDP,C
International Workshop on Post-Quantum Cryptography|PQCrypto,C
Pacific Rim International Symposium on Dependable Computing|PRDC,C
IFIP Working Conferences on Virtual Enterprises|PRO-VE,C
International Conference on Provable Security|ProvSec,C
Privacy in Statistical Databases|PSD,C
Pacific-Rim Symposium on Image and Video Technology|PSIVT,C
"Annual Conference on Privacy, Security and Trust|PST",C
"International Conference on Heterogeneous Networking for Quality, Reliability, Security and Robustness (was International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks)|Qshine",C
International Conference on Relational and AlgebraicMethods in Computer Science (was International Conference on Relational Methods in Computer Science RelMiCS)|RAMiCS,C
International Conference on Reversible Computation|RC,C
Robot Soccer World Cup|RoboCup,C
IEEE International Symposium on Rapid System Prototyping (was IEEE Symposium on Rapid Prototyping)|RSP,C
"ACM Symposium on Access Control Models and Technologies (previously ACM Workshop on Role-Based Access Control, RBAC, changed in 2000)|SACMAT",C
"IFAC Symposium on Fault Detection, Supervision and Safety of Technical Processes|SAFEProcess",C
Simulation and Synthesis in Medical Imaging|SASHIMI,C
International Symposium on Computer Architecture and High Performance Computing|SBAC-PAD,C
International Workshop on Software and Compilers for Embedded Systems|SCOPES,C
International Symposium on Spatial Data Handling|SDH,C
International Conference on Information Security and Cryptography|SECRYPT,C
International Conference on Software Engineering and Knowledge Engineering|SEKE,C
"ACIS Conference on Software Engineering Research, Management and Applications|SERA",C
International Conference on Sequences and their Applications|SETA,C
IEEE Software Engineering Workshop|SEW,C
International Conference on Security of Information and Networks|SIN,C
"International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing|SNPD",C
"International Conference on Intelligent Software Methodologies, Tools, and Techniques (was International Conference on Software Methods and Tools)|SoMeT",C
Software Process Improvement and Capability Determination|SPICE,C
International Symposium on String Processing and Information Retrieval|SPIRE,C
ACM Symposium on Solid and Physical Modelling|SPM,C
International Conference on Software Quality Management|SQM,C
"Symposium on Stabilization, Safety, and Security of Distributed Systems|SSS",C
IFAC Conference on System Structure and Control|SSSC,C
Conference on Theory and Applications of Models of Computation|TAMC,C
International Conference on Tests and Proofs|TAP,C
IEEE Region 10 Conference|Tencon,C
International Symposium on Temporal Representation and Reasoning|TIME,C
"International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies|UBICOMM",C
International Conference on Unconventional Computation and Natural Computation (was International Conference on Unconventional Computation)|UC,C
International Conference on Ubiquitous Intelligence and Computing|UIC,C
IEEE International Conference on Visual Communications and Image Processing (was SPIE ... pre 2011)|VCIP,C
The International Conference on Verification and Evaluation of Computer and Communication Systems|VECoS,C
International Conference on Vehicle Technology and Intelligent Transport Systems|VEHITS,C
Visual Information Communication and Interaction|VINCI,C
International Workshop on Visualization for Cyber Security|VizSec,C
International Workshop on Web and Wireless Geographical Information Systems|W2GIS,C
